customer_id,age,gender,tenure_months,total_orders,frequency,avg_order_value,total_revenue,recency_days,returns_rate,monetary_per_order,rfm_score,high_value
1,39,Male,5,3,3,108.41414036899975,309.88,44,0.21599970772674273,103.29,-27.671,0
2,33,Male,11,3,4,62.62227927942631,203.77,69,0.09252454027635085,67.92,-54.208,0
3,41,Male,85,4,4,110.2750921851289,398.83,102,0.06794535542695088,99.71,-84.029,0
4,50,Male,37,4,5,128.0651002995389,450.26,63,0.0838809781999443,112.56,-41.744,1
5,32,Female,8,2,3,99.27516977701806,231.35,34,0.05448827772463472,115.68,-16.432,0
6,32,Male,20,4,4,88.59788764515953,520.07,68,0.10406496613287694,130.02,-46.998,1
7,50,Male,13,5,6,80.4084421893063,547.28,160,0.04349126594408262,109.46,-137.054,1
8,42,Female,17,5,5,89.01955372694513,411.26,20,0.12694683185596348,82.25,-1.7750000000000004,0
9,30,Male,11,3,3,82.55323319226713,299.99,96,0.020815968902671997,100.0,-80.0,0
10,40,Female,8,4,5,33.27875922271774,180.44,356,0.014788710675022925,45.11,-341.489,0
11,30,Female,27,3,3,109.91229242894593,297.24,86,0.11168433854281819,99.08,-70.092,0
12,30,Male,37,3,4,72.57010628564956,186.65,22,0.04808541303816389,62.22,-7.778,0
13,37,Female,50,3,3,143.1253546806751,611.33,7,0.1429637586451811,203.78,19.378,1
14,18,Female,5,2,3,152.9896304827509,297.27,47,0.11223251932760021,148.64,-26.136000000000003,0
15,18,Male,42,4,5,62.470282344377395,286.99,7,0.08647215028889504,71.75,10.175,0
16,29,Male,8,1,1,76.13943396783041,72.04,37,0.046395774378099636,72.04,-27.796,0
17,24,Female,14,2,2,57.091341926250095,95.16,24,0.05477534052980485,47.58,-15.242,0
18,38,Female,56,6,7,41.401798337545095,287.97,38,0.10143331191097975,48.0,-19.2,0
19,25,Female,15,3,4,68.27596539423925,226.24,22,0.07450446798209047,75.41,-6.459,0
20,20,Male,6,4,5,70.98168959831234,371.53,111,0.14753511786303433,92.88,-91.712,0
21,49,Female,5,7,7,30.88547134551297,302.72,34,0.02520514255973574,43.25,-15.675,0
